id,text,formal_expr,status,linked_classes,notes,created_at
1,What is a valve?,,answered,valve,Required formal definition,2026-04-08
2,What is a pump?,,answered,pump,,2026-04-28
3,What is a compressor?,,answered,compressor,,2026-04-28
4,What is a turbine?,,open,turbine,,2026-04-28
5,What is a portion of fluid?,,open,,,2026-04-28
6,What are all the subclasses of Valve recognised in COPI?,,answered,valve; manual valve; control valve; check valve; safety valve; safety relief valve; relief valve; ball valve; gate valve; globe valve; butterfly valve; diaphragm valve; needle valve; plug valve; angle valve; choke valve; blow down valve; emergency shut down valve; solenoid valve; self-operating valve; on-off control valve; ball control valve; gate control valve; globe control valve; butterfly control valve; choke control valve; down hole safety valve,taxonomy,2026-05-03
7,Which equipment classes in COPI have iof:Assembly as their BFO genus root?,,answered,valve; manual valve; control valve; check valve; pump; compressor; heat exchanger; pressure vessel; storage tank; absorber; vessel,taxonomy,2026-05-03
8,Which equipment classes in COPI have iof:MaterialArtifact as their BFO genus root?,,answered,orifice plate; restriction orifice; thermowell; level sight glass; flow element; temperature element; pressure element; level element,taxonomy,2026-05-03
9,Which equipment classes in COPI are defined with equivalent (sufficient + necessary) conditions?,,answered,control valve; emergency shut down valve; blow down valve; safety valve; check valve; pump; compressor; absorber; transmitter; on-off control valve,taxonomy — axiom mode,2026-05-03
10,Which equipment classes in COPI use necessary-only (primitive) conditions?,,answered,ball valve; gate valve; globe valve; butterfly valve; needle valve; plug valve; angle valve; diaphragm valve; choke valve; ball control valve; gate control valve; globe control valve; butterfly control valve; choke control valve; centrifugal pump; centrifugal compressor; plate heat exchanger; gearbox,taxonomy — axiom mode,2026-05-03
11,Can the same individual be simultaneously classified as a Pump and as a Compressor?,∃x (Pump(x) ∧ Compressor(x)) → ⊥,answered,pump; compressor,disjointness,2026-05-03
12,Which equipment classes in COPI bear a FluidFlowControlFunction as identity-giving function?,,answered,control valve; ball control valve; gate control valve; globe control valve; butterfly control valve; choke control valve; on-off control valve,functional classification,2026-05-03
13,Which equipment classes bear a SafetyFunction as identity-giving function?,,answered,safety valve; safety relief valve; relief valve; emergency shut down valve; blow down valve; down hole safety valve,functional classification,2026-05-03
14,Which equipment classes in COPI participate in a SeparationProcess?,,answered,absorber; vessel; pressure vessel,process participation,2026-05-03
